種類,価格情報区分,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（㎡）,取引価格（㎡単価）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,20,26000000,830000,,100,250000,ほぼ長方形,12.4,,,,,住宅,南東,市道,4,１中住専,60,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,10,57000000,,,100,,長方形,6.5,95,2023年,木造,住宅,住宅,北西,市道,6,準住居,60,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,20,28000000,,,110,,不整形,2.5,95,2023年,木造,住宅,住宅,北西,私道,4,１中住専,60,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,11,57000000,,,85,,ほぼ長方形,8,90,2023年,木造,住宅,住宅,北西,市道,4,１種住居,60,200,2023年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,20,11000000,,,75,,袋地等,,45,1973年,木造,住宅,住宅,南東,私道,4,１中住専,60,200,2023年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,19,38000000,,,160,,ほぼ長方形,9.3,130,1994年,木造,住宅,事務所,北西,市道,6,１種住居,60,200,2023年第3四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,8,39000000,,３ＬＤＫ,65,,,,,1997年,ＲＣ,,住宅,,,,２種住居,60,200,2023年第2四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,15,14000000,,３ＤＫ,55,,,,,1984年,ＳＲＣ,住宅,住宅,,,,１種住居,60,200,2023年第2四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,15,19000000,,２ＬＤＫ,55,,,,,1984年,ＳＲＣ,,住宅,,,,１種住居,60,200,2023年第2四半期,改装済み,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,19,60000000,,,125,,台形,7.8,100,2023年,木造,,住宅,北西,市道,5.8,１種住居,60,200,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,旭町,川越,6,280000000,,,250,,長方形,9.1,420,2023年,軽量鉄骨造,共同住宅,住宅,南東,市道,6,近隣商業,80,200,2023年第1四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,旭町,川越,19,75000000,770000,,320,230000,不整形,10,,,,,その他,南東,市道,15,１種住居,60,200,2023年第1四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,15,14000000,,３ＬＤＫ,65,,,,,1984年,ＳＲＣ,住宅,住宅,,,,１種住居,60,200,2023年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,8,30000000,,,70,,,,,1997年,ＲＣ,住宅,住宅,,,,２種住居,60,200,2023年第1四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,20,29000000,,,55,,ほぼ長方形,7,80,2022年,木造,住宅,住宅,南西,道路,4,１種住居,60,200,2022年第4四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,16,13000000,,３ＬＤＫ,55,,,,,1984年,ＳＲＣ,住宅,住宅,,,,１種住居,60,200,2022年第4四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,11,27000000,,３ＬＤＫ,60,,,,,2004年,ＲＣ,住宅,住宅,,,,準住居,60,200,2022年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,15,9000000,450000,,65,140000,ほぼ長方形,3.7,,,,,住宅,南西,市道,5.7,１種住居,60,200,2022年第3四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,旭町,川越,9,70000000,1100000,,210,330000,ほぼ台形,16.8,,,,,その他,北東,国道,18,近隣商業,80,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,23,43000000,,,100,,ほぼ正方形,10.3,110,2022年,木造,住宅,住宅,南西,市道,6,１中住専,60,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,旭町,川越,18,250000000,,,970,,ほぼ整形,32.8,470,2010年,鉄骨造,店舗,店舗,南東,市道,16,２種住居,60,200,2022年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,18,48000000,800000,,200,240000,長方形,11,,,,,住宅,南西,市道,4,１種住居,60,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,21,34000000,,,210,,ほぼ長方形,26.5,90,2005年,軽量鉄骨造,共同住宅,住宅,北東,道路,4.2,１中住専,60,200,2022年第1四半期,,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,旭町,川越,18,210000000,,,970,,ほぼ長方形,30,470,2010年,鉄骨造,店舗,事務所,南東,市道,16,２種住居,60,200,2021年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,8,62000000,1300000,,155,400000,ほぼ台形,11,,,,,住宅,南東,市道,5.8,２種住居,60,200,2021年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,16,70000000,,,155,,台形,8,110,2021年,軽量鉄骨造,住宅,住宅,北西,市道,6,１種住居,60,200,2021年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,13,70000000,1400000,,165,430000,長方形,,,,,,,北西,私道,4,１種住居,60,200,2021年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,18,45000000,,,105,,長方形,9.3,105,2021年,木造,住宅,住宅,北東,道路,4,１種住居,60,200,2021年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,16,12000000,,,75,,長方形,6,45,1968年,木造,住宅,住宅,北西,市道,4,１種住居,60,200,2021年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,21,7800000,,,80,,ほぼ長方形,6,45,1973年,木造,住宅,住宅,北西,市道,4,１種住居,60,200,2021年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,11,42000000,,,110,,ほぼ長方形,8.5,90,2018年,木造,住宅,住宅,北東,市道,4,準住居,60,200,2021年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,20,19000000,,,175,,長方形,,85,1973年,木造,住宅,住宅,北西,私道,4,１種住居,60,200,2021年第2四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,11,22000000,,３ＬＤＫ,70,,,,,2004年,ＲＣ,住宅,住宅,,,,準住居,60,200,2021年第2四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,19,86000000,,,590,,ほぼ長方形,12,800,1989年,鉄骨造,共同住宅,住宅,南東,市道,4,１種住居,60,200,2021年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,15,42000000,,,175,,不整形,,95,2020年,木造,住宅,住宅,南西,私道,4,１種住居,60,200,2020年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,5,52000000,990000,,175,300000,長方形,6.5,,,,,住宅,北東,市道,8,近隣商業,80,200,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,15,52000000,,,340,,不整形,20,165,1982年,木造,住宅,住宅,北西,私道,,１種住居,60,200,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,10,65000000,,,240,,袋地等,,80,2021年,木造,住宅,住宅,北西,市道,4,２種住居,60,200,2020年第4四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,16,15000000,,２ＬＤＫ,55,,,,,1984年,ＳＲＣ,住宅,住宅,,,,１種住居,60,200,2020年第4四半期,改装済み,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,15,1700000,180000,,30,54000,長方形,2.8,,,,,その他,北西,私道,3.9,１種住居,60,200,2020年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,20,16000000,,,100,,ほぼ長方形,6.3,105,1992年,ＲＣ,住宅,住宅,南東,市道,5.8,１中住専,60,200,2020年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,18,30000000,,,70,,ほぼ長方形,6.6,95,2020年,木造,住宅,住宅,南東,市道,4,１種住居,60,200,2020年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,23,24000000,,,80,,長方形,9.7,75,2020年,木造,住宅,住宅,北東,私道,4,１種住居,60,200,2020年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,12,45000000,710000,,210,210000,長方形,11.6,,,,,住宅,北東,私道,4,２種住居,60,200,2020年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,20,34000000,,,135,,袋地等,3.5,105,2020年,木造,住宅,住宅,北西,市道,4,１中住専,60,200,2020年第2四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,旭町,川越,16,6500000,,２ＬＤＫ,55,,,,,1984年,ＳＲＣ,,住宅,,,,１種住居,60,200,2020年第2四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,21,22000000,,,100,,不整形,2.5,105,2019年,木造,住宅,住宅,南東,市道,4,１中住専,60,200,2020年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,19,12000000,,,150,,ほぼ長方形,,90,1981年,木造,住宅,住宅,北西,私道,4,１種住居,60,200,2020年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,旭町,川越,19,150000000,600000,,800,180000,長方形,19.4,,,,,,南東,市道,6,１種住居,60,200,2020年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,9,33000000,,,440,,ほぼ長方形,19,150,1984年,木造,住宅,住宅,南東,市道,8,調整区域,60,200,2024年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,14,24000000,290000,,280,87000,不整形,7.3,,,,,住宅,南,県道,12,調整区域,60,200,2024年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,14,130000000,260000,,1600,80000,ほぼ台形,41,,,,,その他,南,県道,12.2,調整区域,60,200,2024年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,13,4500000,,,55,,ほぼ整形,7,50,1972年,木造,住宅,その他,南,市道,6.3,調整区域,60,200,2024年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,7,20000000,220000,,290,67000,袋地等,,,,,,,南東,市道,6,調整区域,60,200,2023年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,8,53000000,,,260,,不整形,,110,2024年,,,住宅,南東,私道,4.2,調整区域,60,200,2023年第3四半期,,私道を含む取引
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,6,25000000,320000,,250,98000,不整形,3,,,,,,北西,市道,6,調整区域,60,200,2023年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,14,27000000,390000,,230,120000,ほぼ正方形,15,,,,,住宅,南東,市道,6.8,調整区域,60,200,2023年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,9,23000000,230000,,330,69000,袋地等,,,,,,,南東,私道,4.2,調整区域,60,200,2023年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,7,20000000,280000,,230,85000,袋地等,4,,,,,住宅,南西,市道,5.8,調整区域,60,200,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,14,71000000,,,680,,不整形,,350,1993年,木造,共同住宅,住宅,北東,市道,5.5,調整区域,60,200,2022年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,13,38000000,,,160,,長方形,10.5,105,2022年,木造,住宅,住宅,東,私道,4,調整区域,60,200,2022年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,9,100000000,410000,,820,120000,不整形,,,,,,,南東,道路,4,調整区域,60,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,11,15000000,,,430,,ほぼ整形,15,40,2005年,木造,その他,店舗,南西,市道,7.8,調整区域,60,200,2022年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,8,21000000,350000,,200,100000,ほぼ長方形,9,,,,,,南西,市道,5.8,調整区域,60,200,2021年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,12,17000000,,,270,,ほぼ長方形,13.9,110,1985年,木造,住宅,住宅,南東,市道,8.3,調整区域,,,2021年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,16,4800000,,,90,,ほぼ長方形,8.4,50,1969年,木造,住宅,住宅,南,道路,4,調整区域,60,200,2021年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,14,27000000,340000,,260,100000,ほぼ長方形,15,,,,,住宅,東,市道,4,調整区域,60,200,2021年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,14,29000000,,,115,,ほぼ台形,11,105,2021年,木造,住宅,住宅,北西,私道,4,調整区域,60,200,2021年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,8,21000000,340000,,200,100000,ほぼ正方形,14,,,,,,南西,市道,5.8,,60,200,2021年第3四半期,,
宅地(土地),不動産取引価格情報,宅地見込地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,10,80000000,80000,,"2,000㎡以上",24000,不整形,14.4,,,,,,北西,市道,8.1,調整区域,60,200,2020年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,10,52000000,100000,,1700,30000,ほぼ台形,19.2,,,,,,北西,市道,8.2,調整区域,60,200,2020年第4四半期,,
宅地(土地),不動産取引価格情報,宅地見込地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,11,33000000,100000,,1100,30000,ほぼ長方形,12.8,,,,,,北西,市道,8.1,調整区域,60,200,2020年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,13,8500000,250000,,115,74000,ほぼ長方形,12.6,,,,,住宅,北西,私道,4.3,調整区域,,,2020年第4四半期,,
宅地(土地),不動産取引価格情報,宅地見込地,11201,埼玉県,川越市,大字天沼新田,鶴ケ島,10,44000000,80000,,1800,24000,ほぼ長方形,19,,,,,,北西,市道,8,調整区域,,,2020年第1四半期,,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,新宿町,川越,6,110000000,,,150,,ほぼ正方形,11,155,1997年,軽量鉄骨造,住宅,その他,南東,市道,7.8,近隣商業,80,200,2024年第4四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,21,20000000,,２ＤＫ,50,,,,,1993年,ＲＣ,住宅,住宅,,,,２種住居,60,200,2024年第4四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,9,13000000,,４ＤＫ,65,,,,,1988年,ＲＣ,住宅,住宅,,,,準住居,60,200,2024年第4四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,15,18000000,,,80,,長方形,10,90,1995年,木造,住宅,住宅,南,市道,4,１中住専,60,200,2024年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,11,31000000,,,115,,ほぼ整形,,95,2008年,木造,住宅,住宅,北西,道路,4.2,１種住居,60,200,2024年第3四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,新宿町,川越,9,31000000,990000,,100,300000,ほぼ長方形,7.6,,,,,,南,国道,18,近隣商業,80,200,2024年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,7,72000000,960000,,250,290000,ほぼ長方形,20,,,,,店舗,北西,市道,6,２種住居,60,200,2024年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,19,21000000,,,100,,長方形,13,95,2000年,木造,住宅,住宅,東,市道,4,１中住専,60,200,2024年第3四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,11,20000000,,３ＬＤＫ,55,,,,,1986年,ＳＲＣ,,住宅,,,,準住居,60,200,2024年第3四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,11,20000000,,３ＬＤＫ,70,,,,,1986年,ＳＲＣ,住宅,住宅,,,,準住居,60,200,2024年第3四半期,改装済み,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,21,40000000,,,105,,ほぼ長方形,8.2,100,2023年,木造,住宅,住宅,北西,市道,4.5,１中住専,60,200,2024年第2四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,新宿町,川越,7,130000000,780000,,370,240000,ほぼ整形,20,,,,,その他,東,市道,9,近隣商業,80,200,2024年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,21,35000000,,,125,,長方形,7.8,100,2018年,木造,住宅,住宅,西,市道,4,１中住専,60,200,2024年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,15,36000000,790000,,150,240000,長方形,8,,,,,住宅,南西,市道,4,２種住居,60,200,2024年第2四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,11,21000000,,３ＬＤＫ,55,,,,,1986年,ＳＲＣ,住宅,住宅,,,,準住居,60,200,2024年第2四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,13,19000000,,１ＬＤＫ,50,,,,,2006年,ＲＣ,住宅,住宅,,,,準住居,60,200,2024年第2四半期,改装済み,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,新宿町,川越,6,92000000,,,125,,ほぼ長方形,8,170,1990年,鉄骨造,事務所、店舗,その他,東,市道,7.5,近隣商業,80,200,2024年第1四半期,,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,新宿町,川越,9,4000000,,,100,,長方形,7.5,45,1973年,木造,住宅,住宅,南,国道,18,近隣商業,80,200,2024年第1四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,21,17000000,,２ＬＤＫ,50,,,,,1993年,ＲＣ,住宅,住宅,,,,２種住居,60,200,2024年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,9,20000000,,２ＬＤＫ,60,,,,,1980年,ＲＣ,住宅,住宅,,,,準住居,60,200,2024年第1四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,14,5100000,,２ＤＫ,40,,,,,1982年,ＲＣ,住宅,住宅,,,,１種住居,60,200,2024年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,11,27000000,,３ＬＤＫ,70,,,,,1986年,ＳＲＣ,住宅,住宅,,,,準住居,60,200,2024年第1四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,15,11000000,,３ＤＫ,50,,,,,1993年,ＲＣ,,住宅,,,,１種住居,60,200,2024年第1四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,18,59000000,,,100,,長方形,10.7,95,2023年,木造,住宅,住宅,南,市道,5.8,１中住専,60,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,9,60000000,,,220,,長方形,11.6,125,1996年,木造,住宅,住宅,南,市道,4,２種住居,60,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,16,62000000,,,120,,ほぼ長方形,9.4,110,2018年,木造,住宅,住宅,南西,市道,6.7,１種住居,60,200,2023年第4四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,12,15000000,,３ＬＤＫ,65,,,,,1980年,ＳＲＣ,住宅,住宅,,,,１種住居,60,200,2023年第4四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,11,19000000,,３ＬＤＫ,70,,,,,1995年,,住宅,住宅,,,,１種住居,60,200,2023年第4四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,14,14000000,,３ＤＫ,50,,,,,1994年,ＲＣ,住宅,住宅,,,,１中住専,60,200,2023年第4四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,13,20000000,,２ＬＤＫ,55,,,,,1980年,,住宅,住宅,,,,準住居,60,200,2023年第4四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,9,18000000,,３ＬＤＫ,65,,,,,1980年,ＲＣ,住宅,住宅,,,,準住居,60,200,2023年第4四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,13,19000000,,３ＬＤＫ,60,,,,,2006年,ＲＣ,,住宅,,,,準住居,60,200,2023年第4四半期,未改装,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,16,32000000,1000000,,105,310000,ほぼ長方形,7.9,,,,,住宅,南東,市道,5.2,２種住居,60,200,2023年第3四半期,,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,新宿町,川越,9,52000000,,,195,,ほぼ長方形,17,390,1986年,鉄骨造,店舗,倉庫,北,国道,18,近隣商業,80,200,2023年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,13,35000000,690000,,165,210000,ほぼ正方形,,,,,,住宅,北,道路,4.2,１中住専,60,200,2023年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,18,38000000,,,115,,長方形,,100,2008年,木造,住宅,住宅,南東,私道,4,１中住専,60,200,2023年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,6,1300000000,350000,,"2,000㎡以上",110000,不整形,,,,,,その他,西,市道,10,２種住居,60,200,2023年第3四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,11,14000000,,３ＬＤＫ,55,,,,,1986年,ＳＲＣ,住宅,その他,,,,準住居,60,200,2023年第3四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,14,21000000,,３ＬＤＫ,65,,,,,1982年,ＲＣ,住宅,住宅,,,,１種住居,60,200,2023年第3四半期,改装済み,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,11,250000000,,,240,,不整形,10,310,2023年,軽量鉄骨造,共同住宅,,南,市道,6.1,１種住居,60,200,2023年第2四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,13,4600000,,２ＤＫ,65,,,,,1980年,,住宅,住宅,,,,準住居,60,200,2023年第2四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,20,16000000,,３ＬＤＫ,60,,,,,1995年,ＲＣ,住宅,住宅,,,,１種住居,60,200,2023年第2四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,8,180000000,,,230,,ほぼ長方形,14,380,2018年,木造,共同住宅,その他,南西,市道,8,２種住居,60,200,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,8,190000000,,,790,,ほぼ長方形,,530,1955年,木造,工場,その他,南西,私道,4,近隣商業,80,200,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,9,59000000,,,140,,ほぼ長方形,7,35,1965年,,,その他,北東,市道,7.7,近隣商業,80,200,2023年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,7,15000000,500000,,100,150000,長方形,6.5,,,,,住宅,北東,市道,4,２種住居,60,200,2023年第1四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,新宿町,川越,5,20000000,1300000,,55,380000,ほぼ長方形,50.0m以上,,,,,その他,南東,市道,10.7,近隣商業,80,200,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,5,45000000,,,100,,ほぼ長方形,6,95,2005年,木造,住宅,住宅,南西,道路,4,２種住居,60,200,2023年第1四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,12,24000000,,３ＬＤＫ,65,,,,,2006年,ＲＣ,住宅,住宅,,,,準住居,60,200,2023年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,10,5600000,,１Ｒ,15,,,,,1989年,ＲＣ,住宅,住宅,,,,準住居,60,200,2023年第1四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,新宿町,川越,20,14000000,,３ＬＤＫ,60,,,,,1995年,ＲＣ,,その他,,,,１種住居,60,200,2023年第1四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,新宿町,川越,19,83000000,,,550,,長方形,26.5,400,1991年,鉄骨造,事務所、倉庫,店舗,北,市道,8,１種住居,60,200,2022年第4四半期,,
